Id,Name,Portrait,CardYellowBg,Height,Weight,Nationality,Position,AdaptPosition,Number,Quality,Ability,AbilityRatio,ExtraAbility,PositionRatio,PiecesId,PiecesCount,Skills,ExtractWeight,GiftIds,Desc,Param,Power,RecruitWords,IsRetire,PeakYear,PeakLogo,Sale
102011,丁彦雨航,102011,0,200,99,0,2,[3],2,2,"{""1"":80,""2"":69,""3"":65,""4"":81,""5"":63,""6"":64,""7"":63,""8"":74,""9"":85,""10"":79}","{""1"":76,""2"":65,""3"":61,""4"":76,""5"":59,""6"":60,""7"":59,""8"":70,""9"":80,""10"":75}",0,"{""1"":60,""2"":70,""3"":100,""4"":80,""5"":70}",302011,10,[0],5,"[102011110,102011210]",这个球员非常屌81,,68,,0,,,0
102012,张殿梁,102012,0,201,104,0,2,[4],12,2,"{""1"":79,""2"":78,""3"":64,""4"":78,""5"":64,""6"":64,""7"":63,""8"":67,""9"":87,""10"":86}","{""1"":75,""2"":74,""3"":60,""4"":74,""5"":60,""6"":60,""7"":59,""8"":63,""9"":82,""10"":81}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":80}",302012,10,[0],5,"[102012110,102012210]",这个球员非常屌82,,69,,0,,,0
102013,贾诚,102013,0,208,108,0,2,[4],23,2,"{""1"":70,""2"":81,""3"":62,""4"":79,""5"":60,""6"":65,""7"":71,""8"":80,""9"":85,""10"":81}","{""1"":66,""2"":76,""3"":58,""4"":75,""5"":57,""6"":61,""7"":67,""8"":76,""9"":80,""10"":76}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":80}",302013,10,[0],5,"[102013110,102013210]",这个球员非常屌83,,69,,0,,,0
102014,罗汉琛,102014,0,183,82,0,1,"[1,2]",33,2,"{""1"":74,""2"":62,""3"":75,""4"":95,""5"":74,""6"":70,""7"":60,""8"":63,""9"":84,""10"":83}","{""1"":70,""2"":58,""3"":71,""4"":90,""5"":70,""6"":66,""7"":57,""8"":59,""9"":79,""10"":78}",0,"{""1"":100,""2"":90,""3"":50,""4"":40,""5"":40}",302014,10,[0],5,"[102014110,102014210]",这个球员非常屌84,,70,,0,,,0
102015,王睿泽,102015,0,197,93,0,2,"[3,4]",2,2,"{""1"":75,""2"":71,""3"":66,""4"":82,""5"":74,""6"":72,""7"":64,""8"":79,""9"":83,""10"":83}","{""1"":71,""2"":67,""3"":62,""4"":77,""5"":70,""6"":68,""7"":60,""8"":75,""9"":78,""10"":78}",0,"{""1"":60,""2"":70,""3"":100,""4"":90,""5"":70}",302015,10,[0],5,"[102015110,102015210]",这个球员非常屌85,,71,,0,,,0
102016,朱荣振,102016,0,218,115,0,3,[5],35,2,"{""1"":81,""2"":78,""3"":64,""4"":78,""5"":64,""6"":68,""7"":63,""8"":67,""9"":87,""10"":86}","{""1"":75,""2"":74,""3"":60,""4"":74,""5"":60,""6"":60,""7"":59,""8"":63,""9"":82,""10"":81}",0,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",302016,10,[0],5,"[102016110,102016210]",这个球员非常屌86,,70,,0,,,0
102017,李禄曈,102017,0,213,88,0,3,[5],33,2,"{""1"":75,""2"":81,""3"":62,""4"":79,""5"":68,""6"":65,""7"":71,""8"":80,""9"":85,""10"":81}","{""1"":66,""2"":76,""3"":58,""4"":75,""5"":57,""6"":61,""7"":67,""8"":76,""9"":80,""10"":76}",0,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",302017,10,[0],5,"[102017110,102017210]",这个球员非常屌87,,72,,0,,,0
101001,张祖铭,101001,0,205,95,0,2,"[4,3]",28,1,"{""1"":72,""2"":75,""3"":63,""4"":78,""5"":67,""6"":71,""7"":72,""8"":84,""9"":81,""10"":86}","{""1"":57,""2"":60,""3"":50,""4"":62,""5"":53,""6"":56,""7"":57,""8"":67,""9"":64,""10"":68}",0,"{""1"":40,""2"":40,""3"":90,""4"":100,""5"":80}",301001,5,[0],5,[101001110],这个球员非常屌88,,59,,0,,,0
101002,马振翔,101002,0,200,105,0,2,"[3,4]",50,1,"{""1"":72,""2"":71,""3"":64,""4"":83,""5"":70,""6"":79,""7"":81,""8"":72,""9"":88,""10"":79}","{""1"":57,""2"":56,""3"":51,""4"":66,""5"":56,""6"":63,""7"":64,""8"":57,""9"":70,""10"":63}",0,"{""1"":60,""2"":70,""3"":100,""4"":90,""5"":70}",301002,5,[0],5,[101002110],这个球员非常屌89,,60,,0,,,0
101003,朱彦西,101003,0,207,114,0,2,[4],13,1,"{""1"":71,""2"":66,""3"":62,""4"":81,""5"":71,""6"":73,""7"":71,""8"":78,""9"":88,""10"":85}","{""1"":56,""2"":52,""3"":49,""4"":64,""5"":56,""6"":58,""7"":56,""8"":62,""9"":70,""10"":68}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":80}",301003,5,[0],5,[101003110],这个球员非常屌90,,59,,0,,,0
101004,容子峰,101004,0,186,82,0,1,[1],8,1,"{""1"":64,""2"":63,""3"":70,""4"":93,""5"":80,""6"":76,""7"":62,""8"":74,""9"":83,""10"":81}","{""1"":51,""2"":50,""3"":56,""4"":74,""5"":64,""6"":60,""7"":49,""8"":59,""9"":66,""10"":64}",0,"{""1"":100,""2"":80,""3"":50,""4"":40,""5"":40}",301004,5,[0],5,[101004110],这个球员非常屌91,,59,,0,,,0
101005,王仔路,101005,0,200,91,0,2,"[3,2]",23,1,"{""1"":67,""2"":75,""3"":69,""4"":82,""5"":81,""6"":77,""7"":61,""8"":81,""9"":81,""10"":85}","{""1"":53,""2"":60,""3"":55,""4"":65,""5"":64,""6"":61,""7"":48,""8"":64,""9"":64,""10"":68}",0,"{""1"":60,""2"":90,""3"":100,""4"":80,""5"":70}",301005,5,[0],5,[101005110],这个球员非常屌92,,60,,0,,,0
101006,赵嘉仁,101006,0,203,96,0,2,[4],32,1,"{""1"":69,""2"":72,""3"":64,""4"":79,""5"":63,""6"":65,""7"":65,""8"":79,""9"":82,""10"":87}","{""1"":55,""2"":57,""3"":51,""4"":63,""5"":50,""6"":52,""7"":52,""8"":63,""9"":65,""10"":69}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":80}",301006,5,[0],5,[101006110],这个球员非常屌93,,58,,0,,,0
101007,郭金林,101007,0,197,100,0,2,"[3,4]",27,1,"{""1"":68,""2"":68,""3"":67,""4"":82,""5"":66,""6"":65,""7"":60,""8"":74,""9"":87,""10"":84}","{""1"":54,""2"":54,""3"":53,""4"":65,""5"":52,""6"":52,""7"":48,""8"":59,""9"":69,""10"":67}",0,"{""1"":60,""2"":70,""3"":100,""4"":90,""5"":70}",301007,5,[0],5,[101007110],这个球员非常屌94,,57,,0,,,0
101008,赵嘉义,101008,0,205,98,0,2,[4],35,1,"{""1"":65,""2"":78,""3"":60,""4"":78,""5"":60,""6"":61,""7"":63,""8"":79,""9"":82,""10"":84}","{""1"":52,""2"":62,""3"":48,""4"":62,""5"":48,""6"":48,""7"":50,""8"":63,""9"":65,""10"":67}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":80}",301008,5,[0],5,[101008110],这个球员非常屌95,,57,,0,,,0
101009,田宇恒,101009,0,193,84,0,1,"[2,1]",10,1,"{""1"":69,""2"":67,""3"":66,""4"":86,""5"":72,""6"":69,""7"":60,""8"":69,""9"":81,""10"":80}","{""1"":55,""2"":53,""3"":52,""4"":68,""5"":57,""6"":55,""7"":48,""8"":55,""9"":64,""10"":64}",0,"{""1"":90,""2"":100,""3"":50,""4"":40,""5"":40}",301009,5,[0],5,[101009110],这个球员非常屌96,,57,,0,,,0
101010,赵俊峰,101010,0,193,83,0,1,[1],17,1,"{""1"":69,""2"":65,""3"":74,""4"":91,""5"":64,""6"":62,""7"":60,""8"":67,""9"":80,""10"":77}","{""1"":55,""2"":52,""3"":59,""4"":72,""5"":51,""6"":49,""7"":48,""8"":53,""9"":64,""10"":61}",0,"{""1"":100,""2"":80,""3"":50,""4"":40,""5"":40}",301010,5,[0],5,[101010110],这个球员非常屌97,,56,,0,,,0
101011,邬挺嘉,101011,0,180,83,0,1,"[2,1]",4,1,"{""1"":66,""2"":61,""3"":69,""4"":86,""5"":69,""6"":66,""7"":60,""8"":60,""9"":86,""10"":79}","{""1"":52,""2"":48,""3"":55,""4"":68,""5"":55,""6"":52,""7"":48,""8"":48,""9"":68,""10"":63}",0,"{""1"":90,""2"":100,""3"":50,""4"":40,""5"":40}",301011,5,[0],5,[101011110],这个球员非常屌98,,56,,0,,,0
101012,贾昊,101012,0,197,90,0,2,[3],10,1,"{""1"":63,""2"":70,""3"":64,""4"":83,""5"":74,""6"":73,""7"":64,""8"":76,""9"":82,""10"":80}","{""1"":50,""2"":56,""3"":51,""4"":66,""5"":59,""6"":58,""7"":51,""8"":60,""9"":65,""10"":64}",0,"{""1"":60,""2"":70,""3"":100,""4"":80,""5"":70}",301012,5,[0],5,[101012110],这个球员非常屌99,,58,,0,,,0
101013,王化东,101013,0,203,107,0,2,"[4,5]",32,1,"{""1"":60,""2"":65,""3"":60,""4"":78,""5"":60,""6"":60,""7"":60,""8"":74,""9"":87,""10"":90}","{""1"":48,""2"":52,""3"":48,""4"":62,""5"":48,""6"":48,""7"":48,""8"":59,""9"":69,""10"":72}",0,"{""1"":40,""2"":40,""3"":80,""4"":100,""5"":90}",301013,5,[0],5,[101013110],这个球员非常屌100,,55,,0,,,0
101014,杨金蒙,101014,0,190,88,0,1,"[2,1]",7,1,"{""1"":60,""2"":64,""3"":67,""4"":86,""5"":67,""6"":63,""7"":60,""8"":72,""9"":84,""10"":75}","{""1"":48,""2"":51,""3"":53,""4"":68,""5"":53,""6"":50,""7"":48,""8"":57,""9"":67,""10"":60}",0,"{""1"":90,""2"":100,""3"":50,""4"":40,""5"":40}",301014,5,[0],5,[101014110],这个球员非常屌101,,56,,0,,,0
101015,刘志轩,101015,0,196,88,0,2,"[3,2]",11,1,"{""1"":60,""2"":65,""3"":78,""4"":82,""5"":60,""6"":60,""7"":62,""8"":75,""9"":82,""10"":76}","{""1"":48,""2"":52,""3"":62,""4"":65,""5"":48,""6"":48,""7"":49,""8"":60,""9"":65,""10"":60}",0,"{""1"":60,""2"":90,""3"":100,""4"":80,""5"":70}",301015,5,[0],5,[101015110],这个球员非常屌102,,56,,0,,,0
101016,朱传宇,101016,0,226,122,0,3,[5],16,1,"{""1"":64,""2"":64,""3"":67,""4"":86,""5"":67,""6"":63,""7"":60,""8"":75,""9"":84,""10"":75}","{""1"":48,""2"":51,""3"":53,""4"":68,""5"":53,""6"":50,""7"":48,""8"":57,""9"":67,""10"":60}",0,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",301016,5,[0],5,[101016110],这个球员非常屌103,,56,,0,,,0
101017,孟天艺,101017,0,206,113,0,3,[5],21,1,"{""1"":60,""2"":60,""3"":82,""4"":82,""5"":60,""6"":60,""7"":62,""8"":75,""9"":82,""10"":76}","{""1"":48,""2"":52,""3"":62,""4"":65,""5"":48,""6"":48,""7"":49,""8"":60,""9"":65,""10"":60}",0,"{""1"":40,""2"":40,""3"":70,""4"":80,""5"":100}",301017,5,[0],5,[101017110],这个球员非常屌104,,56,,0,,,0
